Year,City,Sport,Discipline,Athlete,Gender,Event,Medal,Country,Code,Population,GDP per Capita,Season,Agility,Analytical Aptitude,Durability,Endurance,Flexibility,Hand-Eye Coordination,Nerve,Power,Rank,Speed,Strength,Total
1900-01-01,Paris,Aquatics,Swimming,HOUBEN,Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875
1900-01-01,Paris,Aquatics,Swimming,HOUBEN,Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
"1900-01-01,Paris,Aquatics,Swimming,""LEUILLIEUX, Jean"",Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""LEUILLIEUX, Jean"",Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""MARTIN, Louis"",Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""MARTIN, Louis"",Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
"1900-01-01,Paris,Aquatics,Swimming,""MERCHEZ, Désiré"",Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875"
"1900-01-01,Paris,Aquatics,Swimming,""MERCHEZ, Désiré"",Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125"
1900-01-01,Paris,Aquatics,Swimming,TARTARA,Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,4.63,9.25,5.5,2.88,2.63,4.63,36.0,5.5,5.25,46.875
1900-01-01,Paris,Aquatics,Swimming,TARTARA,Men,200M Team Swimming,Bronze,France,FRA,66808385.0,36205.5681017036,summer,3.63,3.0,3.25,4.13,5.5,2.75,2.5,6.25,45.0,7.88,5.25,44.125
